user withdrawHeroToAssetOwnerByAdmin mintHero depositHeroToGateway session_count
user798 0.0 0.0 1.0 9
user852 0.0 0.0 1.0 4
user445 0.0 0.0 1.0 5
user447 0.0 0.0 1.0 6
user844 0.0 0.0 1.0 3
user753 0.0 0.0 1.0 5
user448 0.0 0.0 1.0 12
user449 0.0 0.0 1.0 4
user1473 0.0 0.0 1.0 3
user450 0.0 0.0 1.0 4
user615 0.0 0.0 1.0 8
user451 0.0 0.0 1.0 1
user1134 0.0 0.0 1.0 13
user1042 0.0 0.0 1.0 18
user1329 0.0 0.0 1.0 3
user454 0.0 0.0 1.0 11
user455 0.0 0.0 1.0 5
user456 0.0 0.0 1.0 8
user457 0.0 0.0 1.0 18
user459 0.0 0.0 1.0 2
user460 0.0 0.0 1.0 1
user461 0.0 0.0 1.0 3
user462 0.0 0.0 1.0 22
user1179 0.0 0.0 1.0 6
user529 0.0 0.0 1.0 6
user505 0.0 0.0 1.0 5
user468 0.0 0.0 1.0 16
user627 0.0 0.0 1.0 5
user463 0.0 0.0 1.0 3
user626 0.0 0.0 1.0 12
user469 0.0 0.0 1.0 6
user464 0.0 0.0 1.0 2
user465 0.0 0.0 1.0 3
user466 0.0 0.0 1.0 2
user467 0.0 0.0 1.0 3
user567 0.0 0.0 1.0 11
user619 0.0 0.0 1.0 1
user470 0.0 0.0 1.0 4
user1040 0.0 0.0 1.0 3
user471 0.0 0.0 1.0 1
user472 0.0 0.0 1.0 2
user1277 0.0 0.0 1.0 1
user473 0.0 0.0 1.0 4
user474 0.0 0.0 1.0 1
user475 0.0 0.0 1.0 6
user476 0.0 0.0 1.0 7
user495 0.0 0.0 1.0 6
user496 0.0 0.0 1.0 6
user477 0.0 0.0 1.0 7
user598 0.0 0.0 1.0 7
user500 0.0 0.0 1.0 5
user478 0.0 0.0 1.0 4
user479 0.0 0.0 1.0 31
user480 0.0 0.0 1.0 1
user866 0.0 0.0 1.0 6
user482 0.0 0.0 1.0 1
user865 0.0 0.0 1.0 16
user699 0.0 0.0 1.0 2
user483 0.0 0.0 1.0 6
user484 0.0 0.0 1.0 2
user485 0.0 0.0 1.0 11
