user oboCreateDigitalMediaAndReleases approve safeTransferFrom burnToken burnDigitalMedia transferFrom burn oboCreateDigitalMediaReleases session_count
user635 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1
user594 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user619 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user647 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 3
user632 0.0 1.0 1.0 0.0 0.0 0.0 1.0 0.0 5
user643 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 4
user634 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user654 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 2
user721 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user642 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 6
user612 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1
user653 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 6
