57036  transactions
creator setV1DigitalMediaStoreAddress  success
creator addApprovedTokenCreator  success
creator unpause  success
user1 setOboApprovalForAll  fail
user1 setOboApprovalForAll  fail
user1 setOboApprovalForAll  fail
user2 oboCreateDigitalMediaAndReleases 338+1;5323 success
user2 oboCreateDigitalMediaAndReleases 339+1;5324 success
user3 approve 339 success
user3 approve 340 success
user2 oboCreateDigitalMediaAndReleases 340+1;5325 success
user2 oboCreateDigitalMediaAndReleases 341+1;5326 success
user3 approve 342 success
user3 approve 341 success
user2 oboCreateDigitalMediaAndReleases 342+1;5327 success
user3 approve 343 success
user2 oboCreateDigitalMediaAndReleases 343+1;5328 success
user2 oboCreateDigitalMediaAndReleases 344+1;5329 success
user3 approve 344 success
user3 approve 345 success
user2 oboCreateDigitalMediaAndReleases 345+1;5330 success
user3 approve 346 success
user2 oboCreateDigitalMediaAndReleases 346+1;5331 success
user2 oboCreateDigitalMediaAndReleases 347+1;5332 success
user3 approve 347 success
