user punkNoLongerForSale withdrawBidForPunk transferPunk setInitialOwner buyPunk getPunk enterBidForPunk acceptBidForPunk offerPunkForSale offerPunkForSaleToAddress session_count
user943 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 1
user1017 0.0 1.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 6
user1484 0.0 1.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 1
user531 1.0 1.0 1.0 0.0 1.0 0.0 1.0 1.0 1.0 0.0 13
user1496 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 9
user1505 0.0 0.0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 11
user25 0.0 0.0 1.0 0.0 1.0 0.0 0.0 1.0 1.0 0.0 18
user193 0.0 1.0 1.0 0.0 1.0 0.0 1.0 0.0 0.0 0.0 2
user83 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 6
user15 0.0 1.0 1.0 0.0 1.0 0.0 1.0 1.0 1.0 0.0 120
user146 1.0 1.0 1.0 0.0 1.0 0.0 1.0 1.0 1.0 1.0 86
user628 1.0 1.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 44
user7 1.0 0.0 1.0 0.0 1.0 0.0 0.0 0.0 1.0 0.0 212
user1520 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user1292 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 1
user125 0.0 0.0 1.0 0.0 1.0 0.0 0.0 0.0 1.0 0.0 4
user337 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 1.0 0.0 4
user315 0.0 1.0 1.0 0.0 1.0 0.0 1.0 0.0 0.0 0.0 31
user60 1.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 1.0 0.0 23
user630 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user119 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 1.0 15
user368 1.0 1.0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 119
user1164 1.0 1.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 22
user1414 0.0 1.0 1.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 3
user49 1.0 1.0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 19
user1255 0.0 1.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 4
user71 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 44
user75 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 6
user906 0.0 1.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 19
user1137 1.0 1.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 5
user72 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 40
user456 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 10
user487 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 1
user489 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 4
user485 0.0 1.0 0.0 0.0 1.0 0.0 1.0 0.0 0.0 0.0 4
user23 1.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 76
