user acceptBid setSalePrice bid transfer cancelBid buy session_count
user979 0.0 0.0 1.0 0.0 1.0 0.0 9
user1070 0.0 0.0 1.0 0.0 1.0 0.0 1
user190 1.0 1.0 0.0 0.0 0.0 0.0 9
user198 0.0 0.0 0.0 0.0 0.0 1.0 1
user332 1.0 1.0 1.0 1.0 0.0 0.0 37
user191 1.0 1.0 0.0 0.0 0.0 0.0 17
user461 0.0 0.0 1.0 0.0 0.0 0.0 2
user426 0.0 0.0 1.0 1.0 0.0 1.0 3
user196 0.0 0.0 0.0 0.0 0.0 1.0 1
user815 0.0 0.0 1.0 0.0 1.0 1.0 3
user1017 0.0 1.0 0.0 0.0 0.0 1.0 1
user1051 0.0 0.0 1.0 0.0 1.0 0.0 1
user279 0.0 1.0 1.0 0.0 1.0 0.0 9
user648 1.0 0.0 1.0 0.0 1.0 0.0 6
user209 0.0 0.0 0.0 1.0 0.0 1.0 4
user566 0.0 0.0 0.0 1.0 0.0 0.0 4
user199 0.0 0.0 0.0 1.0 0.0 1.0 3
user200 0.0 1.0 0.0 0.0 0.0 0.0 1
user924 0.0 0.0 1.0 1.0 1.0 1.0 4
user941 0.0 1.0 0.0 0.0 0.0 0.0 2
user962 0.0 1.0 0.0 1.0 0.0 1.0 3
user963 0.0 0.0 1.0 0.0 0.0 1.0 2
user220 0.0 0.0 0.0 0.0 0.0 1.0 1
user884 0.0 0.0 1.0 0.0 1.0 0.0 1
user1014 0.0 1.0 1.0 0.0 1.0 0.0 3
user997 0.0 1.0 1.0 0.0 0.0 1.0 3
user709 0.0 0.0 0.0 0.0 0.0 1.0 1
user516 0.0 1.0 0.0 0.0 0.0 1.0 2
user911 0.0 0.0 0.0 1.0 0.0 1.0 3
user255 1.0 1.0 1.0 0.0 1.0 1.0 16
user203 1.0 1.0 0.0 0.0 0.0 0.0 4
user797 0.0 0.0 1.0 0.0 1.0 0.0 1
user1034 0.0 1.0 0.0 0.0 0.0 1.0 1
user214 0.0 0.0 1.0 0.0 0.0 0.0 2
user935 0.0 0.0 0.0 0.0 0.0 1.0 1
user205 1.0 1.0 1.0 1.0 0.0 0.0 51
user213 0.0 1.0 1.0 1.0 0.0 0.0 4
user627 0.0 0.0 1.0 0.0 0.0 1.0 5
user708 0.0 0.0 1.0 0.0 1.0 0.0 3
user470 0.0 1.0 1.0 0.0 1.0 1.0 12
user874 0.0 0.0 1.0 0.0 1.0 0.0 2
user208 0.0 0.0 1.0 0.0 0.0 0.0 1
user829 0.0 0.0 1.0 0.0 0.0 0.0 2
user210 1.0 1.0 0.0 1.0 0.0 1.0 52
user499 1.0 1.0 1.0 0.0 1.0 1.0 12
user834 0.0 0.0 1.0 0.0 1.0 0.0 2
user928 0.0 0.0 1.0 0.0 1.0 0.0 3
user958 0.0 0.0 0.0 0.0 0.0 1.0 1
user217 0.0 0.0 1.0 1.0 0.0 0.0 1
user215 0.0 0.0 1.0 0.0 0.0 0.0 1
user670 0.0 0.0 1.0 0.0 1.0 0.0 5
user667 0.0 1.0 1.0 1.0 1.0 1.0 2
user500 0.0 0.0 1.0 1.0 1.0 1.0 4
