user cancelAuction bid createAuction session_count
user532 0.0 1.0 0.0 1
user469 1.0 0.0 1.0 1
user475 1.0 1.0 1.0 6
user471 0.0 0.0 1.0 1
user472 0.0 0.0 1.0 3
user474 0.0 0.0 1.0 1
user480 0.0 1.0 0.0 1
user487 0.0 1.0 0.0 1
user476 0.0 0.0 1.0 1
user565 0.0 1.0 0.0 1
user428 0.0 0.0 1.0 2
user477 0.0 0.0 1.0 2
user667 0.0 1.0 0.0 1
user481 1.0 0.0 1.0 1
user654 0.0 1.0 1.0 1
user484 0.0 0.0 1.0 1
user658 0.0 1.0 0.0 1
user486 0.0 0.0 1.0 1
user490 0.0 0.0 1.0 1
user491 0.0 0.0 1.0 4
user643 0.0 1.0 0.0 1
user492 0.0 0.0 1.0 1
user520 0.0 1.0 1.0 2
user505 0.0 1.0 0.0 1
user494 0.0 0.0 1.0 1
user495 1.0 0.0 1.0 1
user496 0.0 0.0 1.0 1
user497 0.0 0.0 1.0 1
user498 0.0 0.0 1.0 1
user500 0.0 1.0 0.0 5
user552 0.0 1.0 0.0 1
user499 0.0 0.0 1.0 1
user642 0.0 1.0 0.0 3
user501 0.0 0.0 1.0 1
user502 0.0 0.0 1.0 1
user508 1.0 1.0 1.0 2
user503 0.0 0.0 1.0 1
user611 0.0 1.0 0.0 1
user630 0.0 1.0 0.0 1
user506 0.0 0.0 1.0 1
user507 0.0 1.0 0.0 1
user510 0.0 0.0 1.0 2
user511 1.0 0.0 1.0 9
user537 0.0 1.0 0.0 1
user513 0.0 0.0 1.0 1
user534 1.0 1.0 1.0 2
user514 0.0 0.0 1.0 2
user516 0.0 0.0 1.0 2
user517 0.0 0.0 1.0 3
user659 0.0 1.0 0.0 1
user518 1.0 0.0 1.0 2
user556 0.0 1.0 0.0 1
user546 0.0 1.0 0.0 1
user522 0.0 1.0 0.0 1
user421 0.0 0.0 1.0 1
user530 0.0 1.0 0.0 1
user524 0.0 0.0 1.0 1
user526 0.0 1.0 0.0 1
user529 0.0 0.0 1.0 2
user531 1.0 0.0 1.0 19
user535 1.0 0.0 1.0 1
user536 1.0 0.0 1.0 4
user538 1.0 0.0 1.0 1
user539 1.0 1.0 1.0 2
user541 0.0 0.0 1.0 1
user542 0.0 0.0 1.0 1
user543 0.0 0.0 1.0 1
user559 0.0 1.0 0.0 1
user545 0.0 0.0 1.0 1
user547 0.0 0.0 1.0 1
user549 0.0 0.0 1.0 34
user550 0.0 0.0 1.0 2
user554 0.0 1.0 0.0 1
user551 0.0 0.0 1.0 3
user573 0.0 1.0 0.0 2
user568 0.0 1.0 0.0 1
user620 0.0 1.0 0.0 2
user553 0.0 0.0 1.0 1
user581 0.0 1.0 0.0 1
user641 0.0 1.0 0.0 4
user555 0.0 0.0 1.0 1
user557 0.0 0.0 1.0 1
user560 0.0 0.0 1.0 1
user561 0.0 0.0 1.0 1
user562 1.0 0.0 1.0 1
user563 0.0 0.0 1.0 1
user564 0.0 0.0 1.0 2
user569 0.0 1.0 0.0 1
user442 0.0 0.0 1.0 1
user566 1.0 0.0 1.0 1
user567 0.0 0.0 1.0 1
user655 0.0 1.0 0.0 1
user686 0.0 1.0 0.0 1
user650 0.0 1.0 0.0 1
user571 0.0 0.0 1.0 1
user629 0.0 1.0 1.0 1
user574 0.0 0.0 1.0 1
user635 0.0 1.0 0.0 1
user575 1.0 0.0 1.0 1
user576 0.0 0.0 1.0 1
user580 0.0 1.0 1.0 4
user577 0.0 0.0 1.0 1
user578 0.0 0.0 1.0 1
user631 0.0 1.0 0.0 2
user619 0.0 1.0 0.0 1
user607 0.0 1.0 0.0 1
user685 0.0 1.0 0.0 1
user579 0.0 0.0 1.0 1
user615 0.0 1.0 0.0 1
user604 0.0 1.0 0.0 1
user582 0.0 0.0 1.0 1
user583 1.0 0.0 1.0 1
user584 0.0 0.0 1.0 1
user585 0.0 0.0 1.0 1
user586 0.0 0.0 1.0 1
user587 0.0 0.0 1.0 2
user588 1.0 0.0 1.0 4
user652 0.0 1.0 0.0 1
user589 0.0 0.0 1.0 1
user590 0.0 0.0 1.0 1
user622 0.0 1.0 0.0 1
user591 1.0 0.0 1.0 6
user594 0.0 1.0 0.0 1
user592 0.0 0.0 1.0 1
user596 0.0 1.0 0.0 1
user614 0.0 1.0 0.0 1
user605 0.0 1.0 1.0 3
user593 0.0 0.0 1.0 1
user595 1.0 0.0 1.0 1
user597 0.0 0.0 1.0 1
user632 0.0 1.0 0.0 1
user598 0.0 0.0 1.0 1
user665 0.0 1.0 0.0 1
user599 0.0 0.0 1.0 1
user600 0.0 0.0 1.0 1
user601 1.0 0.0 1.0 1
user602 0.0 0.0 1.0 1
user603 0.0 0.0 1.0 1
user606 0.0 0.0 1.0 1
user617 0.0 1.0 0.0 1
