57036  transactions
creator setV1DigitalMediaStoreAddress  success
creator addApprovedTokenCreator  success
creator unpause  success
user1 setOboApprovalForAll  fail
user1 setOboApprovalForAll  fail
user1 setOboApprovalForAll  fail
user2 oboCreateDigitalMediaAndReleases 281;5267 success
user2 oboCreateDigitalMediaAndReleases 282;5268 success
user3 approve 282 success
user3 approve 281 success
user2 oboCreateDigitalMediaAndReleases 283;5269 success
user3 approve 283 success
user2 oboCreateDigitalMediaAndReleases 284;5270 success
user3 approve 284 success
user3 approve 259 success
user2 oboCreateDigitalMediaAndReleases 285;5271 success
user3 approve 285 success
user2 oboCreateDigitalMediaAndReleases 286;5272 success
user3 approve 286 success
user2 oboCreateDigitalMediaAndReleases 287;5273 success
user3 approve 287 success
user2 oboCreateDigitalMediaAndReleases 288;5274 success
user3 approve 288 success
user2 oboCreateDigitalMediaAndReleases 289;5275 success
user3 approve 289 success
user3 approve 268 success
user2 oboCreateDigitalMediaAndReleases 290;5276 success
user3 approve 290 success
user2 oboCreateDigitalMediaAndReleases 291;5277 success
user3 approve 291 success
user2 oboCreateDigitalMediaAndReleases 292;5278 success
user3 approve 292 success
user2 oboCreateDigitalMediaAndReleases 293;5279 success
user3 approve 293 success
user3 approve 280 success
user3 approve 247 success
user2 oboCreateDigitalMediaAndReleases 294;5280 success
user3 approve 294 success
user2 oboCreateDigitalMediaAndReleases 295;5281 success
user2 oboCreateDigitalMediaAndReleases 296;5282 success
user2 oboCreateDigitalMediaAndReleases 297;5283 success
user3 approve 295 success
user2 oboCreateDigitalMediaReleases 298;5281 success
user2 oboCreateDigitalMediaAndReleases 299;5284 success
user3 approve 299 success
user2 oboCreateDigitalMediaAndReleases 300;5285 success
user3 approve 300 success
user2 oboCreateDigitalMediaAndReleases 301;5286 success
user3 approve 301 success
user2 oboCreateDigitalMediaAndReleases 302;5287 success
user3 approve 302 success
user2 oboCreateDigitalMediaAndReleases 303;5288 success
user2 oboCreateDigitalMediaAndReleases 304;5289 success
user2 oboCreateDigitalMediaAndReleases 305;5290 success
user2 oboCreateDigitalMediaAndReleases 306;5291 success
user2 oboCreateDigitalMediaAndReleases 307;5292 success
user2 oboCreateDigitalMediaAndReleases 308;5293 success
user2 oboCreateDigitalMediaAndReleases 309;5294 success
user3 approve 304 success
user3 approve 309 success
user3 approve 308 success
user3 approve 307 success
user2 oboCreateDigitalMediaAndReleases 310;5295 success
user2 oboCreateDigitalMediaAndReleases 311;5296 success
user2 oboCreateDigitalMediaAndReleases 312;5297 success
user2 oboCreateDigitalMediaAndReleases 313;5298 success
user3 approve 313 success
user3 approve 297 success
user3 approve 296 success
user2 oboCreateDigitalMediaAndReleases 314;5299 success
